,MLIRF FP Equity_DX_SI_QTY,MLIRF FP Equity_DX_SHORT_INTEREST_VALUE,MLIRF FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLIRF FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLIRF FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLIRF FP Equity_DX_SI_MV,MLIRF FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLIRF FP Equity_DX_SUPPLY_SI_QTY,MLIRF FP Equity_DX_BROKER_SI_QTY,MLIRF FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLIRF FP Equity_DX_SUPPLY_SI_MV,MLIRF FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLIRF FP Equity_DX_UTILIZATION_QUANTITY,MLIRF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLIRF FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLIRF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLIRF FP Equity_DX_ACTIVE_UTILIZATION_MV,MLIRF FP Equity_DX_BROKER_SI_CON_RATIO,MLIRF FP Equity_DX_DEMAND_SUPPLY_RATIO
2022-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3860.0,6832.2,0.0,0.0,0.0,0.0
2022-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3860.0,6832.2,0.0,0.0,0.0,0.0
2022-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3860.0,6832.2,0.0,0.0,0.0,0.0
2022-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3860.0,6832.2,0.0,0.0,0.0,0.0
2022-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3860.0,6832.2,0.0,0.0,0.0,0.0
2022-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3860.0,6832.2,0.0,0.0,0.0,0.0
2022-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3860.0,6832.2,0.0,0.0,0.0,0.0
2022-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3860.0,6832.2,0.0,0.0,0.0,0.0
2022-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3860.0,6832.2,0.0,0.0,0.0,0.0
2022-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3860.0,6832.2,0.0,0.0,0.0,0.0
2022-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3860.0,6832.2,0.0,0.0,0.0,0.0
2022-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3860.0,6755.0,0.0,0.0,0.0,0.0
2022-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3860.0,6755.0,0.0,0.0,0.0,0.0
2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3860.0,6755.0,0.0,0.0,0.0,0.0
2022-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5860.0,10255.0,0.01,0.0,0.0,0.0
2022-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5860.0,10255.0,0.01,0.0,0.0,0.0
2022-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5860.0,10255.0,0.01,0.0,0.0,0.0
2022-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5860.0,10255.0,0.01,0.0,0.0,0.0
2022-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5860.0,10255.0,0.01,0.0,0.0,0.0
2022-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5860.0,10255.0,0.01,0.0,0.0,0.0
2022-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5860.0,10255.0,0.01,0.0,0.0,0.0
2022-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5860.0,10255.0,0.01,0.0,0.0,0.0
2022-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5860.0,10255.0,0.01,0.0,0.0,0.0
2022-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5860.0,10255.0,0.01,0.0,0.0,0.0
2022-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5860.0,10255.0,0.01,0.0,0.0,0.0
2022-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5860.0,10255.0,0.01,0.0,0.0,0.0
2022-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5860.0,10255.0,0.01,0.0,0.0,0.0
2022-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5860.0,10255.0,0.01,0.0,0.0,0.0
2022-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5860.0,10255.0,0.01,0.0,0.0,0.0
2022-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5860.0,10255.0,0.01,0.0,0.0,0.0
2022-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5860.0,10255.0,0.01,0.0,0.0,0.0
2022-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5860.0,10255.0,0.01,0.0,0.0,0.0
2022-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5860.0,10255.0,0.01,0.0,0.0,0.0
2022-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5860.0,10255.0,0.01,0.0,0.0,0.0
2022-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5860.0,10255.0,0.01,0.0,0.0,0.0
2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5860.0,10255.0,0.01,0.0,0.0,0.0
2022-07-04,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-07-05,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-07-06,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-07-07,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-07-08,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-07-11,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-07-12,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-07-13,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-07-14,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-07-15,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-07-18,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-07-19,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-07-20,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-07-21,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-07-22,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-07-25,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-07-26,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-07-27,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-07-28,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-07-29,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-08-01,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-08-02,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-08-03,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-08-04,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-08-05,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-08-08,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-08-09,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-08-10,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-08-11,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-08-12,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-08-15,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-08-16,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-08-17,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-08-18,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-08-19,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-08-22,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-08-23,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-08-24,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-08-25,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-08-26,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-08-29,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-08-30,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-08-31,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-09-01,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-09-02,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-09-05,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-09-06,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-09-07,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-09-08,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-09-09,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-09-12,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,5860.0,,0.01,0.0,0.0,
2022-09-13,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5860.0,7618.0,0.01,0.0,0.0,0.0
2022-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5860.0,9258.8,0.01,0.0,0.0,0.0
2022-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5860.0,9258.8,0.01,0.0,0.0,0.0
2022-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5860.0,8790.0,0.01,0.0,0.0,0.0
2022-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7350.0,11025.0,0.01,0.0,0.0,0.0
2022-09-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7350.0,11392.5,0.01,0.0,0.0,0.0
2022-09-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7350.0,11392.5,0.01,0.0,0.0,0.0
2022-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7350.0,11025.0,0.01,0.0,0.0,0.0
2022-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7350.0,11245.5,0.01,0.0,0.0,0.0
2022-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7350.0,11245.5,0.01,0.0,0.0,0.0
2022-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7350.0,11245.5,0.01,0.0,0.0,0.0
2022-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7350.0,11025.0,0.01,0.0,0.0,0.0
2022-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7350.0,11025.0,0.01,0.0,0.0,0.0
2022-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7350.0,11025.0,0.01,0.0,0.0,0.0
2022-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7350.0,11025.0,0.01,0.0,0.0,0.0
2022-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7350.0,11025.0,0.01,0.0,0.0,0.0
2022-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7350.0,11025.0,0.01,0.0,0.0,0.0
2022-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7350.0,11025.0,0.01,0.0,0.0,0.0
2022-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27350.0,41025.0,0.04,0.0,0.0,0.0
2022-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27350.0,41025.0,0.04,0.0,0.0,0.0
2022-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27350.0,41025.0,0.04,0.0,0.0,0.0
2022-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27350.0,41025.0,0.04,0.0,0.0,0.0
2022-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27350.0,41025.0,0.04,0.0,0.0,0.0
2022-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27350.0,41025.0,0.04,0.0,0.0,0.0
