,ALINV FP Equity_DX_SI_QTY,ALINV FP Equity_DX_SHORT_INTEREST_VALUE,ALINV FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALINV FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALINV FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALINV FP Equity_DX_SI_MV,ALINV FP Equity_DX_DSS,ALINV FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALINV FP Equity_DX_SUPPLY_SI_QTY,ALINV FP Equity_DX_BROKER_SI_QTY,ALINV FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALINV FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALINV FP Equity_DX_BROKER_SI_MV_INC_x,ALINV FP Equity_DX_BROKER_SI_QTY_ADD,ALINV FP Equity_DX_SUPPLY_SI_MV_DEC,ALINV FP Equity_DX_BROKER_SI_QTY_INC,ALINV FP Equity_DX_SUPPLY_SI_QTY_DEC,ALINV FP Equity_DX_BROKER_SI_MV_INC_y,ALINV FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALINV FP Equity_DX_BROKER_SI_MV_ADD,ALINV FP Equity_DX_SUPPLY_SI_QTY_ADD,ALINV FP Equity_DX_BROKER_SI_QTY_DEC,ALINV FP Equity_DX_SUPPLY_SI_MV,ALINV FP Equity_DX_BROKER_SI_MV_DEC,ALINV FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALINV FP Equity_DX_UTILIZATION_QUANTITY,ALINV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALINV FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALINV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALINV FP Equity_DX_ACTIVE_UTILIZATION_MV,ALINV FP Equity_DX_BROKER_SI_CON_RATIO,ALINV FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALINV FP Equity_DX_DEMAND_SUPPLY_RATIO
2018-06-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,474285.24,0.47,0.0,0.0,,0.0
2018-06-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,474285.24,0.47,0.0,0.0,,0.0
2018-07-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,474285.24,0.47,0.0,0.0,,0.0
2018-07-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,474285.24,0.47,0.0,0.0,,0.0
2018-07-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,480951.9,0.47,0.0,0.0,,0.0
2018-07-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,480951.9,0.48,0.0,0.0,,0.0
2018-07-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,480951.9,0.48,0.0,0.0,,0.0
2018-07-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,480951.9,0.48,0.0,0.0,,0.0
2018-07-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,480951.9,0.48,0.0,0.0,,0.0
2018-07-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,480951.9,0.48,0.0,0.0,,0.0
2018-07-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,480951.9,0.48,0.0,0.0,,0.0
2018-07-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,480951.9,0.48,0.0,0.0,,0.0
2018-07-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,490475.7,0.48,0.0,0.0,,0.0
2018-07-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,490475.7,0.48,0.0,0.0,,0.0
2018-07-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,490475.7,0.48,0.0,0.0,,0.0
2018-07-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,490475.7,0.48,0.0,0.0,,0.0
2018-07-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,490475.7,0.48,0.0,0.0,,0.0
2018-07-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,490475.7,0.48,0.0,0.0,,0.0
2018-07-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,490475.7,0.48,0.0,0.0,,0.0
2018-07-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,490475.7,0.48,0.0,0.0,,0.0
2018-07-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,490475.7,0.48,0.0,0.0,,0.0
2018-07-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,490475.7,0.48,0.0,0.0,,0.0
2018-07-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,490475.7,0.48,0.0,0.0,,0.0
2018-07-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,490475.7,0.48,0.0,0.0,,0.0
2018-08-01,10000.0,51500.0,0.39,1807.23,0.39,0.05,0.0,0.0,10000.0,0.0,51500.0,,,,,,,,,,10000.0,,0.05,,100.0,10.5,0.0,0.0,0.0,100.0,1.0,100.0,0.105
2018-08-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.05,,10000.0,,,,,,0.0,,0.0,0.0,95238.0,490475.7,0.48,0.0,0.0,,0.0
2018-08-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,490475.7,0.48,0.0,0.0,,0.0
2018-08-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,490475.7,0.48,0.0,0.0,,0.0
2018-08-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,490475.7,0.48,0.0,0.0,,0.0
2018-08-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,490475.7,0.48,0.0,0.0,,0.0
2018-08-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,490475.7,0.48,0.0,0.0,,0.0
2018-08-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,490475.7,0.48,0.0,0.0,,0.0
2018-08-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,490475.7,0.48,0.0,0.0,,0.0
2018-08-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,490475.7,0.48,0.0,0.0,,0.0
2018-08-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,490475.7,0.48,0.0,0.0,,0.0
2018-08-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,490475.7,0.48,0.0,0.0,,0.0
2018-08-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,490475.7,0.48,0.0,0.0,,0.0
2018-08-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,490475.7,0.48,0.0,0.0,,0.0
2018-08-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,490475.7,0.48,0.0,0.0,,0.0
2018-08-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,490475.7,0.48,0.0,0.0,,0.0
2018-08-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,490475.7,0.48,0.0,0.0,,0.0
2018-08-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,490475.7,0.48,0.0,0.0,,0.0
2018-08-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,490475.7,0.48,0.0,0.0,,0.0
2018-08-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,495237.6,0.48,0.0,0.0,,0.0
2018-08-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,495237.6,0.49,0.0,0.0,,0.0
2018-08-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,495237.6,0.48,0.0,0.0,,0.0
2018-08-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,495237.6,0.48,0.0,0.0,,0.0
2018-09-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,495237.6,0.48,0.0,0.0,,0.0
2018-09-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,519047.1,0.48,0.0,0.0,,0.0
2018-09-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,519047.1,0.48,0.0,0.0,,0.0
2018-09-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,519047.1,0.48,0.0,0.0,,0.0
2018-09-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,519047.1,0.48,0.0,0.0,,0.0
2018-09-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,476190.0,0.48,0.0,0.0,,0.0
2018-09-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,476190.0,0.48,0.0,0.0,,0.0
2018-09-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,476190.0,0.48,0.0,0.0,,0.0
2018-09-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,480951.9,0.48,0.0,0.0,,0.0
2018-09-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,480951.9,0.48,0.0,0.0,,0.0
2018-09-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,480951.9,0.48,0.0,0.0,,0.0
2018-09-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,480951.9,0.48,0.0,0.0,,0.0
2018-09-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,480951.9,0.48,0.0,0.0,,0.0
2018-09-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,480951.9,0.48,0.0,0.0,,0.0
2018-09-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,480951.9,0.48,0.0,0.0,,0.0
2018-09-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,480951.9,0.48,0.0,0.0,,0.0
2018-09-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,476190.0,0.48,0.0,0.0,,0.0
2018-09-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,476190.0,0.48,0.0,0.0,,0.0
2018-09-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,476190.0,0.48,0.0,0.0,,0.0
2018-09-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,464761.44,0.48,0.0,0.0,,0.0
2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,464761.44,0.48,0.0,0.0,,0.0
2018-10-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,464761.44,0.48,0.0,0.0,,0.0
2018-10-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,499999.5,0.48,0.0,0.0,,0.0
2018-10-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,499999.5,0.48,0.0,0.0,,0.0
2018-10-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,499999.5,0.48,0.0,0.0,,0.0
2018-10-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,499999.5,0.48,0.0,0.0,,0.0
2018-10-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,499999.5,0.48,0.0,0.0,,0.0
2018-10-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,499999.5,0.48,0.0,0.0,,0.0
2018-10-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,499999.5,0.48,0.0,0.0,,0.0
2018-10-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,499999.5,0.48,0.0,0.0,,0.0
2018-10-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,499999.5,0.48,0.0,0.0,,0.0
2018-10-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,499999.5,0.48,0.0,0.0,,0.0
2018-10-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,499999.5,0.48,0.0,0.0,,0.0
2018-10-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,499999.5,0.48,0.0,0.0,,0.0
2018-10-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,480951.9,0.48,0.0,0.0,,0.0
2018-10-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,480951.9,0.48,0.0,0.0,,0.0
2018-10-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,480951.9,0.48,0.0,0.0,,0.0
2018-10-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,480951.9,0.48,0.0,0.0,,0.0
2018-10-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,480951.9,0.48,0.0,0.0,,0.0
2018-10-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,480951.9,0.48,0.0,0.0,,0.0
2018-10-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,480951.9,0.48,0.0,0.0,,0.0
2018-10-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,480951.9,0.48,0.0,0.0,,0.0
2018-10-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95238.0,480951.9,0.48,0.0,0.0,,0.0
